product_id,name,category,unit,cost_rub,moq,pack_mult,shelf_open_days,channel,abc_group,temp_sensitivity
1,Чай ДХП (Da Hong Pao),чай,кг,3200,0.5,0.5,30,1,A,0.4
2,Чай Жасминовый,чай,кг,2800,0.5,0.5,30,1,A,0.4
3,Чай ГАБА,чай,кг,3500,0.5,0.5,30,1,A,0.5
4,Чай Кокейча,чай,кг,3000,0.5,0.5,30,1,B,0.4
5,Чай Сенча-Греча,чай,кг,2600,0.5,0.5,30,1,B,0.4
6,Кофе Гейша (Cold Brew),кофе,кг,4500,0.5,0.5,2,1,A,0.6
7,Матча,матча,кг,6000,0.5,0.5,360,1,B,0.3
8,Молоко топлёное,молоко,л,180,1.0,1.0,2,2,A,0.8
9,Молоко кокосовое AROYD,молоко,л,320,1.0,1.0,3,1,B,0.6
10,Тапиока,топпинг,кг,450,1.0,1.0,7,1,A,0.2
11,Крем сливочный,топпинг,л,380,1.0,1.0,3,2,A,0.7
12,Желе шоколадное,топпинг,кг,520,0.5,0.5,5,1,B,0.3
13,JellyBalls,топпинг,кг,480,0.5,0.5,14,1,B,0.2
14,Сироп сахарный,сироп,л,220,1.0,1.0,90,1,A,0.1
15,Сироп шоколадный,сироп,л,280,1.0,1.0,90,1,B,0.1
16,Сироп Алое,сироп,л,350,1.0,1.0,90,1,A,0.1
17,Сироп клубничный,сироп,л,290,1.0,1.0,90,1,B,0.1
18,Сироп манго,сироп,л,290,1.0,1.0,90,1,B,0.1
19,Пюре манго,пюре,кг,420,0.5,0.5,3,2,B,0.7
20,Пюре лайм,пюре,кг,380,0.5,0.5,3,2,B,0.6
21,Клубника с/м,фрукты,кг,360,1.0,1.0,2,2,A,0.8
22,Личи ягоды,фрукты,кг,480,0.5,0.5,2,2,A,0.8
23,Лайм слайсы,фрукты,кг,220,0.5,0.5,2,2,B,0.7
24,Манго мороженый,фрукты,кг,380,1.0,1.0,3,2,B,0.7
25,Митараши-карамель,соус,кг,550,0.5,0.5,14,1,C,0.2
26,Тыквенный соус,соус,кг,480,0.5,0.5,14,1,C,0.2
27,Стакан 600 мл,расходники,шт,12,50.0,50.0,365,1,A,0.0
28,Стакан 450 мл,расходники,шт,10,50.0,50.0,365,1,A,0.0
29,Крышка,расходники,шт,3,100.0,100.0,365,1,A,0.0
30,Трубочка,расходники,шт,2,100.0,100.0,365,1,A,0.0
