date,product_id,writeoff_qty,reason,writeoff_cost_rub
2024-01-01,19,1.2219,истечение срока годности,513.26
2024-01-01,22,0.4317,истечение срока годности,207.25
2024-01-02,13,0.4155,истечение срока годности,199.47
2024-01-02,22,1.7682,истечение срока годности,848.7
2024-01-03,12,0.8521,истечение срока годности,443.08
2024-01-04,5,0.1989,истечение срока годности,517.28
2024-01-04,22,0.9155,ошибка приготовления (брак),439.5
2024-01-08,5,0.1741,истечение срока годности,452.84
2024-01-12,9,4.0074,истечение срока годности,1282.36
2024-01-12,12,0.2398,истечение срока годности,124.7
2024-01-12,22,1.9321,истечение срока годности,927.34
2024-01-13,12,0.8344,истечение срока годности,433.89
2024-01-15,8,7.9194,истечение срока годности,1425.46
2024-01-15,19,0.3369,ошибка приготовления (брак),141.51
2024-01-20,11,3.8047,прочие причины,1445.76
2024-01-20,22,0.8631,истечение срока годности,414.34
2024-01-22,23,1.3759,прочие причины,302.72
2024-01-23,6,0.1595,истечение срока годности,717.37
2024-01-26,4,0.1931,истечение срока годности,579.26
2024-01-26,11,4.1557,истечение срока годности,1579.12
2024-01-27,6,0.1636,истечение срока годности,735.96
2024-01-31,23,1.2903,истечение срока годности,283.88
2024-02-01,9,2.2082,истечение срока годности,706.59
2024-02-02,9,3.8892,истечение срока годности,1244.51
2024-02-05,15,1.1074,истечение срока годности,310.08
2024-02-07,22,0.6864,истечение срока годности,329.42
2024-02-08,21,1.2084,истечение срока годности,434.99
2024-02-09,19,0.4927,истечение срока годности,206.96
2024-02-09,22,0.4695,истечение срока годности,225.36
2024-02-12,4,0.3401,истечение срока годности,1020.51
2024-02-14,8,2.8017,истечение срока годности,504.33
2024-02-19,6,0.0512,истечение срока годности,230.32
2024-02-19,10,3.3819,истечение срока годности,1521.86
2024-02-19,24,0.6118,истечение срока годности,232.43
2024-02-20,8,11.5327,истечение срока годности,2075.89
2024-02-21,12,0.202,истечение срока годности,105.07
2024-03-01,6,0.2448,ошибка приготовления (брак),1102.02
2024-03-04,10,2.6488,истечение срока годности,1191.95
2024-03-04,12,0.2764,истечение срока годности,143.73
2024-03-04,23,0.8503,истечение срока годности,187.05
2024-03-06,19,1.4527,истечение срока годности,610.13
2024-03-07,22,1.6014,истечение срока годности,768.71
2024-03-08,4,0.101,истечение срока годности,303.32
2024-03-10,8,8.9495,истечение срока годности,1610.91
2024-03-12,13,0.2174,истечение срока годности,104.37
2024-03-14,21,0.6465,прочие причины,232.75
2024-03-15,23,0.3889,истечение срока годности,85.53
2024-03-19,8,11.2976,порча/бой при хранении,2033.58
2024-03-21,20,0.6347,истечение срока годности,241.2
2024-03-22,1,0.802,порча/бой при хранении,2566.33
2024-03-22,14,3.7825,истечение срока годности,832.16
2024-03-22,23,1.4112,истечение срока годности,310.42
2024-03-23,21,0.9202,порча/бой при хранении,331.32
2024-03-24,21,0.5483,истечение срока годности,197.38
2024-03-24,23,0.3114,прочие причины,68.48
2024-03-25,16,0.861,ошибка приготовления (брак),301.39
2024-03-29,22,0.5003,истечение срока годности,240.19
2024-04-03,25,0.1527,ошибка приготовления (брак),83.93
2024-04-05,12,0.219,ошибка приготовления (брак),113.92
2024-04-05,22,0.4171,прочие причины,200.23
2024-04-06,12,0.5648,истечение срока годности,293.74
2024-04-06,21,1.7191,истечение срока годности,618.9
2024-04-09,29,100.2741,ошибка приготовления (брак),300.81
2024-04-10,6,0.268,ошибка приготовления (брак),1206.49
2024-04-10,8,9.7784,порча/бой при хранении,1760.09
2024-04-11,21,2.7432,истечение срока годности,987.57
2024-04-12,17,1.2431,истечение срока годности,360.47
2024-04-12,23,1.3483,истечение срока годности,296.59
2024-04-13,13,0.3137,ошибка приготовления (брак),150.54
2024-04-14,22,1.223,истечение срока годности,587.09
2024-04-15,24,0.5857,истечение срока годности,222.54
2024-04-21,21,2.0117,истечение срока годности,724.19
2024-04-27,10,0.926,истечение срока годности,416.66
2024-04-27,20,0.7156,истечение срока годности,271.95
2024-04-28,19,1.6656,истечение срока годности,699.57
2024-04-29,25,0.1174,истечение срока годности,64.62
2024-04-30,22,1.1048,истечение срока годности,530.25
2024-05-01,22,1.6207,истечение срока годности,778.0
2024-05-03,21,2.1688,истечение срока годности,780.77
2024-05-04,22,1.2775,истечение срока годности,613.21
2024-05-07,23,1.419,истечение срока годности,312.19
2024-05-08,4,0.0699,истечение срока годности,209.73
2024-05-10,13,0.771,прочие причины,370.08
2024-05-13,4,0.2184,истечение срока годности,654.95
2024-05-13,6,0.2323,порча/бой при хранении,1044.68
2024-05-13,9,2.5389,истечение срока годности,812.45
2024-05-15,15,0.8503,истечение срока годности,238.1
2024-05-18,21,1.254,истечение срока годности,451.45
2024-05-19,12,0.1741,истечение срока годности,90.51
2024-05-23,19,1.3237,истечение срока годности,555.98
2024-05-25,19,1.8551,истечение срока годности,779.15
2024-05-26,8,10.9111,истечение срока годности,1964.0
2024-05-30,9,3.231,истечение срока годности,1033.95
2024-05-30,11,3.7144,ошибка приготовления (брак),1411.49
2024-05-31,6,0.2255,истечение срока годности,1015.0
2024-05-31,21,0.7104,ошибка приготовления (брак),255.79
2024-06-03,20,0.2829,истечение срока годности,107.47
2024-06-04,11,5.951,ошибка приготовления (брак),2261.42
2024-06-05,22,0.5016,истечение срока годности,240.81
2024-06-07,21,1.8196,ошибка приготовления (брак),655.08
2024-06-08,17,1.3955,истечение срока годности,404.74
2024-06-09,1,0.6791,истечение срока годности,2173.44
2024-06-11,11,8.0533,истечение срока годности,3060.25
2024-06-11,21,1.586,ошибка приготовления (брак),570.99
2024-06-12,19,0.4291,истечение срока годности,180.16
2024-06-13,24,0.6305,порча/бой при хранении,239.59
2024-06-15,8,11.3456,истечение срока годности,2042.22
2024-06-15,10,3.7569,ошибка приготовления (брак),1690.62
2024-06-16,10,1.5487,ошибка приготовления (брак),696.96
2024-06-16,13,0.5875,истечение срока годности,282.0
2024-06-20,24,0.8868,истечение срока годности,337.01
2024-06-21,24,0.7253,истечение срока годности,275.63
2024-06-22,22,1.8371,истечение срока годности,881.74
2024-06-23,23,0.3915,истечение срока годности,86.13
2024-06-24,6,0.2365,истечение срока годности,1064.09
2024-06-25,19,1.6064,порча/бой при хранении,674.62
2024-06-27,23,1.2908,истечение срока годности,283.95
2024-06-28,22,0.5763,истечение срока годности,276.62
2024-06-29,24,0.4494,истечение срока годности,170.79
2024-06-30,6,0.2075,ошибка приготовления (брак),933.47
2024-06-30,21,2.6965,ошибка приготовления (брак),970.79
2024-07-02,14,5.8834,истечение срока годности,1294.34
2024-07-02,22,1.0912,истечение срока годности,523.72
2024-07-02,23,0.9385,истечение срока годности,206.44
2024-07-03,6,0.1501,прочие причины,675.59
2024-07-05,21,2.2907,прочие причины,824.67
2024-07-06,22,1.6766,истечение срока годности,804.8
2024-07-06,25,0.1897,истечение срока годности,104.42
2024-07-08,10,4.2311,истечение срока годности,1904.05
2024-07-10,10,1.7045,истечение срока годности,767.01
2024-07-11,3,0.2336,ошибка приготовления (брак),817.38
2024-07-11,18,0.9972,истечение срока годности,289.17
2024-07-13,23,0.2438,истечение срока годности,53.63
2024-07-14,22,0.8999,истечение срока годности,432.01
2024-07-20,8,8.5564,истечение срока годности,1540.16
2024-07-20,22,1.1945,истечение срока годности,573.41
2024-07-21,10,0.9941,истечение срока годности,447.41
2024-07-22,23,1.2903,истечение срока годности,283.88
2024-07-23,23,1.2243,истечение срока годности,269.31
2024-07-25,9,4.3068,ошибка приготовления (брак),1378.17
2024-07-27,10,3.1459,истечение срока годности,1415.7
2024-07-28,10,3.6107,прочие причины,1624.8
2024-07-30,19,1.6792,ошибка приготовления (брак),705.24
2024-07-30,26,0.0506,порча/бой при хранении,24.27
2024-08-03,3,0.2576,порча/бой при хранении,901.5
2024-08-05,21,1.728,порча/бой при хранении,622.04
2024-08-07,20,0.3805,истечение срока годности,144.56
2024-08-08,5,0.1258,истечение срока годности,326.96
2024-08-08,8,3.4737,истечение срока годности,625.25
2024-08-09,21,1.1014,истечение срока годности,396.46
2024-08-10,5,0.0694,истечение срока годности,180.73
2024-08-10,8,3.0107,ошибка приготовления (брак),541.94
2024-08-10,10,1.4741,истечение срока годности,663.3
2024-08-10,23,0.6418,истечение срока годности,141.19
2024-08-11,20,0.5246,истечение срока годности,199.34
2024-08-14,10,2.5026,ошибка приготовления (брак),1126.21
2024-08-16,3,0.2761,ошибка приготовления (брак),966.67
2024-08-16,8,5.5481,истечение срока годности,998.66
2024-08-16,12,0.2244,истечение срока годности,116.63
2024-08-16,20,0.6044,истечение срока годности,229.69
2024-08-17,19,0.8432,истечение срока годности,354.21
2024-08-18,21,1.1708,истечение срока годности,421.49
2024-08-18,23,0.5392,истечение срока годности,118.59
2024-08-20,2,0.2148,истечение срока годности,601.42
2024-08-21,19,0.8618,ошибка приготовления (брак),361.96
2024-08-21,22,0.5857,прочие причины,281.06
2024-08-23,3,0.4298,порча/бой при хранении,1504.04
2024-08-23,21,2.7873,ошибка приготовления (брак),1003.44
2024-08-24,6,0.1336,истечение срока годности,601.29
2024-08-29,19,1.146,ошибка приготовления (брак),481.31
2024-08-30,9,2.5934,истечение срока годности,829.91
2024-08-31,9,3.0512,ошибка приготовления (брак),976.43
2024-09-02,8,3.7206,истечение срока годности,669.72
2024-09-02,23,0.2589,истечение срока годности,56.97
2024-09-06,8,5.9769,прочие причины,1075.84
2024-09-06,23,0.8547,ошибка приготовления (брак),188.04
2024-09-07,22,0.6081,истечение срока годности,291.89
2024-09-09,9,2.0485,ошибка приготовления (брак),655.52
2024-09-11,9,3.6807,ошибка приготовления (брак),1177.78
2024-09-11,21,2.256,истечение срока годности,812.19
2024-09-12,23,0.6436,истечение срока годности,141.59
2024-09-14,10,1.1948,истечение срока годности,537.63
2024-09-14,22,0.3667,ошибка приготовления (брак),176.01
2024-09-15,24,0.7835,истечение срока годности,297.71
2024-09-16,8,11.7514,истечение срока годности,2115.27
2024-09-16,21,2.785,ошибка приготовления (брак),1002.61
2024-09-17,23,1.3764,ошибка приготовления (брак),302.82
2024-09-18,9,1.8397,истечение срока годности,588.68
2024-09-20,8,10.784,ошибка приготовления (брак),1941.11
2024-09-20,21,1.3245,истечение срока годности,476.85
2024-09-22,20,1.0946,истечение срока годности,415.99
2024-09-24,10,2.0297,ошибка приготовления (брак),913.32
2024-09-24,13,0.3544,истечение срока годности,170.08
2024-09-25,11,6.4779,истечение срока годности,2461.6
2024-09-25,21,2.1847,истечение срока годности,786.54
2024-09-27,10,1.3545,истечение срока годности,609.53
2024-09-27,12,0.1678,истечение срока годности,87.3
2024-09-27,22,0.654,истечение срока годности,313.91
2024-09-30,5,0.0843,истечение срока годности,219.52
2024-10-04,3,0.0833,ошибка приготовления (брак),291.42
2024-10-05,5,0.0686,истечение срока годности,178.15
2024-10-05,19,0.8328,истечение срока годности,349.83
2024-10-05,22,1.1035,истечение срока годности,529.72
2024-10-07,12,0.6311,истечение срока годности,328.22
2024-10-08,6,0.2169,порча/бой при хранении,975.62
2024-10-09,21,2.2202,истечение срока годности,799.25
2024-10-12,4,0.1866,истечение срока годности,560.02
2024-10-12,22,0.3944,истечение срока годности,189.29
2024-10-12,26,0.1506,истечение срока годности,72.27
2024-10-13,20,0.3842,истечение срока годности,146.02
2024-10-16,19,1.8715,истечение срока годности,785.99
2024-10-16,24,0.5596,истечение срока годности,212.6
2024-10-19,23,1.0017,истечение срока годности,220.38
2024-10-19,25,0.1349,порча/бой при хранении,74.22
2024-10-20,21,1.2415,истечение срока годности,446.97
2024-10-20,25,0.1112,истечение срока годности,61.2
2024-10-21,2,0.5687,истечение срока годности,1592.59
2024-10-22,9,1.5187,истечение срока годности,485.98
2024-10-23,17,0.5692,ошибка приготовления (брак),165.07
2024-10-23,21,2.2019,истечение срока годности,792.72
2024-10-23,22,1.0004,истечение срока годности,480.19
2024-10-25,9,3.4889,истечение срока годности,1116.42
2024-10-26,4,0.2699,истечение срока годности,809.19
2024-10-26,5,0.0501,истечение срока годности,130.39
2024-10-29,6,0.2464,истечение срока годности,1108.46
2024-11-01,8,3.7903,ошибка приготовления (брак),682.24
2024-11-01,24,0.8532,истечение срока годности,324.17
2024-11-05,21,2.8776,истечение срока годности,1035.96
2024-11-09,8,6.8185,порча/бой при хранении,1227.32
2024-11-12,1,0.6178,прочие причины,1977.1
2024-11-12,8,10.1028,истечение срока годности,1818.5
2024-11-12,22,1.8076,ошибка приготовления (брак),867.62
2024-11-14,6,0.0851,истечение срока годности,383.28
2024-11-14,9,0.8954,истечение срока годности,286.56
2024-11-17,25,0.0407,порча/бой при хранении,22.37
2024-11-19,10,2.4287,истечение срока годности,1092.99
2024-11-23,20,0.7054,истечение срока годности,268.11
2024-11-25,14,4.1513,истечение срока годности,913.27
