date,product_id,stock_open,consumed_qty,stock_close
2024-01-01,1,2.1649,1.3655,3.7994
2024-01-01,2,1.8556,0.9409,2.9147
2024-01-01,3,1.2371,0.7484,1.9887
2024-01-01,4,0.9278,0.5324,1.8954
2024-01-01,5,0.6185,0.5268,1.0917
2024-01-01,6,0.7422,0.4947,1.2475
2024-01-01,7,0.1546,0.0874,0.5672
2024-01-01,8,30.9269,18.65,46.2769
2024-01-01,9,12.3708,8.4984,18.8724
2024-01-01,10,11.1337,7.0059,18.1277
2024-01-01,11,21.6488,17.8845,32.7643
2024-01-01,12,2.4742,1.5497,3.9244
2024-01-01,13,2.1649,1.4646,3.7003
2024-01-01,14,24.7415,15.7189,40.0226
2024-01-01,15,7.4225,4.3942,12.0282
2024-01-01,16,9.2781,5.6728,15.6053
2024-01-01,17,6.1854,3.9538,10.2316
2024-01-01,18,6.1854,4.5681,10.6172
2024-01-01,19,4.9483,3.904,7.5443
2024-01-01,20,3.0927,2.7563,4.8364
2024-01-01,21,7.4225,3.4571,10.9654
2024-01-01,22,4.9483,3.5015,7.4468
2024-01-01,23,3.7112,3.0103,5.701
2024-01-01,24,3.0927,1.3874,4.7053
2024-01-01,25,0.6185,0.3928,1.2257
2024-01-01,26,0.4948,0.1829,0.8119
2024-01-01,27,989.6602,689.17,1650.4902
2024-01-01,28,247.4151,184.706,412.7091
2024-01-01,29,1237.0753,733.2483,503.827
2024-01-01,30,742.2452,730.2908,11.954399999999964
2024-01-02,1,3.7994,1.0941,2.7052
2024-01-02,2,2.9147,0.975,1.9397
2024-01-02,3,1.9887,0.8355,1.1532
2024-01-02,4,1.8954,0.58,1.3154
2024-01-02,5,1.0917,0.4373,0.6544
2024-01-02,6,1.2475,0.5866,0.6609
2024-01-02,7,0.5672,0.1025,0.4647
2024-01-02,8,46.2769,18.0414,28.2355
2024-01-02,9,18.8724,9.8606,9.0118
2024-01-02,10,18.1277,6.5474,11.5803
2024-01-02,11,32.7643,9.7321,23.0323
2024-01-02,12,3.9244,1.7269,2.1975
2024-01-02,13,3.7003,1.2353,2.465
2024-01-02,14,40.0226,16.4455,23.5771
2024-01-02,15,12.0282,4.3278,7.7004
2024-01-02,16,15.6053,6.4539,9.1514
2024-01-02,17,10.2316,4.0219,6.2096
2024-01-02,18,10.6172,4.0004,6.6168
2024-01-02,19,7.5443,3.4307,4.1136
2024-01-02,20,4.8364,2.5296,2.3067
2024-01-02,21,10.9654,7.013,10.9524
2024-01-02,22,7.4468,3.4861,3.9606
2024-01-02,23,5.701,2.2096,3.4913
2024-01-02,24,4.7053,1.848,2.8572
2024-01-02,25,1.2257,0.5256,0.7001
2024-01-02,26,0.8119,0.2349,0.577
2024-01-02,27,1650.4902,606.1667,1044.3235
2024-01-02,28,412.7091,136.7642,275.9449
2024-01-02,29,2031.023,609.1435,1421.8795
2024-01-02,30,1287.38,608.4921,678.8879000000001
2024-01-03,1,2.7052,1.7032,3.502
2024-01-03,2,1.9397,1.5347,2.905
2024-01-03,3,1.1532,0.7161,1.9371
2024-01-03,4,1.3154,0.6397,0.6758
2024-01-03,5,0.6544,0.2618,0.3926
2024-01-03,6,0.6609,0.4965,1.1644
2024-01-03,7,0.4647,0.0793,0.3854
2024-01-03,8,28.2355,16.9578,46.2777
2024-01-03,9,9.0118,7.8103,19.2014
2024-01-03,10,11.5803,7.0135,18.5668
2024-01-03,11,23.0323,11.5689,33.4634
2024-01-03,12,2.1975,1.4046,4.2929
2024-01-03,13,2.465,1.1373,3.8277
2024-01-03,14,23.5771,13.6608,40.9163
2024-01-03,15,7.7004,4.0721,12.6283
