date,temperature_c,humidity_pct,precipitation_mm
2024-01-01,-4.7,47.2,0.0
2024-01-02,-7.2,20.5,0.0
2024-01-03,-4.0,34.2,0.0
2024-01-04,-0.4,33.8,0.0
2024-01-05,-7.4,25.4,0.0
2024-01-06,-7.3,30.3,0.0
2024-01-07,0.1,27.5,0.0
2024-01-08,-3.1,50.3,0.0
2024-01-09,-8.0,43.6,5.7
2024-01-10,-3.8,46.2,0.0
2024-01-11,-7.8,41.7,0.0
2024-01-12,-7.7,26.8,0.0
2024-01-13,-4.7,31.5,0.0
2024-01-14,-13.3,39.6,0.0
2024-01-15,-12.4,25.8,0.0
2024-01-16,-7.6,41.2,0.0
2024-01-17,-9.3,33.5,0.0
2024-01-18,-3.9,32.3,0.1
2024-01-19,-8.6,41.0,0.0
2024-01-20,-10.5,38.8,0.0
2024-01-21,1.1,32.3,2.4
2024-01-22,-5.5,44.4,0.0
2024-01-23,-4.2,26.4,0.0
2024-01-24,-10.0,40.0,2.5
2024-01-25,-6.4,39.8,0.0
2024-01-26,-3.6,32.5,0.0
2024-01-27,-8.5,37.6,7.1
2024-01-28,-2.2,25.0,0.0
2024-01-29,-5.9,42.4,0.0
2024-01-30,-4.5,33.5,0.0
2024-01-31,-5.6,30.8,0.0
2024-02-01,4.4,43.4,0.0
2024-02-02,-2.9,29.4,1.9
2024-02-03,-6.9,23.8,0.0
2024-02-04,0.8,22.7,0.0
2024-02-05,-7.2,40.0,0.0
2024-02-06,-1.3,25.0,20.7
2024-02-07,-9.8,49.3,0.0
2024-02-08,-7.0,20.0,16.2
2024-02-09,-0.7,48.9,0.0
2024-02-10,1.6,37.1,0.0
2024-02-11,-0.4,34.7,0.0
2024-02-12,-1.4,31.2,0.0
2024-02-13,-1.9,38.9,0.0
2024-02-14,-6.4,35.5,0.0
2024-02-15,-3.2,44.7,0.0
2024-02-16,-1.9,36.9,0.0
2024-02-17,4.4,37.3,0.0
2024-02-18,1.7,33.3,0.0
2024-02-19,-6.5,35.9,0.0
2024-02-20,2.1,38.9,0.0
2024-02-21,-0.5,22.9,0.0
2024-02-22,-1.4,25.9,0.0
2024-02-23,4.0,42.8,0.0
2024-02-24,5.9,38.4,1.6
2024-02-25,5.7,35.7,0.0
2024-02-26,-1.1,37.5,0.0
2024-02-27,1.2,40.3,0.0
2024-02-28,4.0,33.3,0.0
2024-02-29,6.8,31.6,0.0
2024-03-01,1.3,39.6,0.0
2024-03-02,2.7,30.4,0.0
2024-03-03,-0.8,41.6,3.4
2024-03-04,-0.9,24.9,0.0
2024-03-05,7.4,47.0,25.5
2024-03-06,9.8,42.8,0.0
2024-03-07,4.4,41.2,0.0
2024-03-08,8.9,47.3,0.0
2024-03-09,6.6,52.9,4.8
2024-03-10,2.9,47.9,1.1
2024-03-11,7.1,25.3,0.0
2024-03-12,12.1,30.1,0.2
2024-03-13,6.1,35.5,3.2
2024-03-14,12.7,41.0,3.9
2024-03-15,-3.8,45.2,0.0
2024-03-16,10.3,35.5,0.0
2024-03-17,7.6,43.0,0.0
2024-03-18,6.3,35.7,0.0
2024-03-19,8.1,37.1,0.0
